order_id,supplier_id,supplier_rating,distance_km,shipment_mode,weather_score,demand_volatility,inventory_level,order_quantity,risk_score,is_delayed
O1,S33,2,193,Road,0.5552008115994623,0.5296505783560065,1,434,53,1
O2,S37,3,1356,Sea,0.3500784076946757,0.6451033620305648,878,497,48,1
O3,S27,3,574,Air,0.005184862773986776,0.6278944149486361,19,370,36,0
O4,S24,3,946,Road,0.7378969166957685,0.5543540525114007,789,398,42,0
O5,S43,1,740,Road,0.6259396701015728,0.8204268437712681,167,379,67,1
O6,S19,3,1953,Sea,0.2976351745093109,0.09998488716186338,611,445,37,0
O7,S20,3,1415,Road,0.9472485773838587,0.9860010638228709,131,341,76,1
O8,S48,3,833,Road,0.45565675278571294,0.6201325978015367,7,171,53,1
O9,S4,4,525,Road,0.9997176732861306,0.9966368370739054,436,72,42,1
O10,S49,3,1408,Sea,0.6220867002278735,0.8623637087467452,132,334,72,1
O11,S30,1,1099,Road,0.08451700768068193,0.5972780822554306,691,256,45,1
O12,S34,5,1355,Road,0.24435315546465453,0.4982476978489402,965,278,31,0
O13,S34,5,703,Sea,0.5812382214226123,0.1543627152742023,867,382,21,0
O14,S42,3,900,Road,0.5230654247691193,0.3588304841235025,748,91,34,0
O15,S49,3,1595,Sea,0.7546352918601166,0.10291603074414502,908,208,46,1
O16,S9,4,1978,Sea,0.7364442356247228,0.9343670147690148,725,316,56,1
O17,S16,3,525,Sea,0.1844628714188561,0.29959591176647704,735,190,24,0
O18,S26,4,145,Road,0.6031974021769796,0.806850148962586,911,214,31,0
O19,S16,3,570,Sea,0.6334782198261473,0.2578876854332023,757,327,32,0
O20,S30,1,147,Sea,0.9540869365396331,0.13500127742120693,311,338,66,1
O21,S24,3,1610,Road,0.6466649191171634,0.6931752114569247,488,414,50,1
O22,S19,3,65,Sea,0.8766653778624495,0.41750608402789213,738,219,40,1
O23,S22,2,1392,Road,0.4674015112498697,0.6134113892107077,152,248,67,1
O24,S8,5,1197,Sea,0.2597537837603262,0.7234201136885849,601,451,33,0
O25,S15,3,1597,Air,0.2870381331749128,0.6169269183757422,112,282,56,1
O26,S9,4,1555,Sea,0.9971245001577111,0.42618130223597295,396,88,52,1
O27,S10,4,398,Air,0.032526179491251916,0.9208478478156868,898,453,22,0
O28,S16,3,1818,Sea,0.033203108791366565,0.07857849715502074,917,152,32,0
O29,S27,3,358,Road,0.498195716453139,0.5553635509376312,913,260,29,0
O30,S18,3,424,Sea,0.06913278618661944,0.43716538881682654,501,365,24,0
O31,S44,5,1975,Air,0.11191961939772788,0.2697496115169896,641,342,24,0
O32,S26,4,1727,Sea,0.6512329770414921,0.10659303030799072,219,499,54,1
O33,S14,3,1695,Road,0.759344327922866,0.5004453091307415,84,331,64,1
O34,S24,3,85,Sea,0.08703896258765864,0.8157486435042809,171,425,46,1
O35,S36,4,1596,Air,0.39090599590551467,0.594476335186173,253,458,53,1
O36,S18,3,1871,Sea,0.5804750067166746,0.08876739410776846,452,382,43,1
O37,S37,3,810,Sea,0.30552431065802355,0.3969815170742834,406,203,36,0
O38,S31,4,1465,Sea,0.5061075548467509,0.2325513583653801,172,493,54,1
O39,S43,1,1763,Air,0.8866042152404667,0.4497846488213225,482,56,77,1
O40,S14,3,1633,Sea,0.8408715794259226,0.038426348962324997,955,281,47,1
O41,S49,3,417,Road,0.29544477747742026,0.7692231478381336,920,378,29,0
O42,S37,3,1711,Road,0.7284906771616132,0.7764474464997246,235,273,68,1
O43,S30,1,1478,Road,0.615985450260179,0.18802473461541613,936,161,55,1
O44,S15,3,211,Sea,0.602145644052481,0.02293281126804203,914,354,27,0
O45,S43,1,1375,Air,0.37691416473637196,0.46173281361238216,979,98,55,1
O46,S15,3,688,Air,0.7324487318380898,0.5483205837264242,471,192,46,1
O47,S8,5,1130,Road,0.4622955610006072,0.4117655415845085,636,216,27,0
O48,S34,5,534,Road,0.7979141596158941,0.3959704726624549,943,287,25,0
O49,S21,4,1866,Road,0.20975294768368136,0.3790271262190974,226,238,46,0
O50,S7,2,1832,Sea,0.6428819100587077,0.694150573509831,920,352,62,1
